id,district_id,electoral_district_id,eligible_voters,voters,question_1_invalid_votes,question_1_valid_votes,question_1_vote_yes,question_1_vote_no,question_2_invalid_votes,question_2_valid_votes,question_2_vote_yes,question_2_vote_no,voter_turnout,question_1_invalid_votes_percentage,question_1_valid_votes_percentage,question_1_vote_yes_percentage,question_1_vote_no_percentage,question_2_invalid_votes_percentage,question_2_valid_votes_percentage,question_2_vote_yes_percentage,question_2_vote_no_percentage
03504,03,504,5,1252,0,586,0,61,525,402,123,32,250.4,0.0,0.4680511182108626,0.0,0.048722044728434506,0.4193290734824281,0.3210862619808307,0.09824281150159744,0.025559105431309903
03505,03,505,5,1171,0,443,1,19,424,271,153,41,234.2,0.0,0.3783091374893254,0.0008539709649871904,0.016225448334756618,0.36208368915456873,0.2314261315115286,0.13065755764304013,0.035012809564474806
03506,03,506,5,1230,0,472,0,34,438,299,139,46,246.0,0.0,0.383739837398374,0.0,0.027642276422764227,0.35609756097560974,0.24308943089430896,0.11300813008130081,0.03739837398373984
03507,03,507,5,1346,0,464,1,48,416,241,175,43,269.2,0.0,0.3447251114413076,0.0007429420505200594,0.03566121842496285,0.30906389301634474,0.17904903417533433,0.1300148588410104,0.03194650817236255
03508,03,508,5,1306,0,495,0,33,462,317,145,32,261.2,0.0,0.3790199081163859,0.0,0.02526799387442573,0.3537519142419602,0.24272588055130168,0.1110260336906585,0.02450229709035222
03509,03,509,5,1412,0,483,3,30,453,264,189,40,282.4,0.0,0.34206798866855526,0.002124645892351275,0.021246458923512748,0.32082152974504247,0.18696883852691218,0.13385269121813032,0.028328611898016998
03510,03,510,5,1261,0,424,1,22,402,286,116,33,252.2,0.0,0.3362410785091198,0.0007930214115781126,0.017446471054718478,0.31879460745440125,0.2268041237113402,0.09199048374306107,0.026169706582077717
03511,03,511,5,1378,0,604,2,6,598,381,217,6,275.6,0.0,0.43831640058055155,0.001451378809869376,0.0043541364296081275,0.4339622641509434,0.2764876632801161,0.1574746008708273,0.0043541364296081275
03512,03,512,5,1389,0,458,1,32,426,300,126,43,277.8,0.0,0.32973362131029516,0.0007199424046076314,0.023038156947444204,0.30669546436285094,0.2159827213822894,0.09071274298056156,0.03095752339812815
03513,03,513,5,1529,0,525,3,40,485,300,185,57,305.8,0.0,0.3433616742969261,0.001962066710268149,0.026160889470241987,0.3172007848266841,0.1962066710268149,0.1209941137998692,0.03727926749509483
03514,03,514,5,1476,0,407,0,28,379,268,111,44,295.2,0.0,0.2757452574525745,0.0,0.018970189701897018,0.2567750677506775,0.18157181571815717,0.07520325203252033,0.02981029810298103
03515,03,515,5,1024,0,352,0,25,327,185,142,24,204.8,0.0,0.34375,0.0,0.0244140625,0.3193359375,0.1806640625,0.138671875,0.0234375
03516,03,516,5,1565,0,601,2,47,554,285,269,45,313.0,0.0,0.3840255591054313,0.0012779552715654952,0.030031948881789138,0.3539936102236422,0.18210862619808307,0.1718849840255591,0.02875399361022364
03517,03,517,5,1121,0,479,0,31,448,264,184,27,224.2,0.0,0.4272970561998216,0.0,0.027653880463871544,0.39964317573595004,0.23550401427297057,0.1641391614629795,0.02408563782337199
03518,03,518,5,1303,0,489,0,25,464,313,151,32,260.6,0.0,0.375287797390637,0.0,0.01918649270913277,0.3561013046815042,0.2402148887183423,0.11588641596316193,0.024558710667689946
03519,03,519,5,1148,0,447,1,23,424,280,144,27,229.6,0.0,0.3893728222996516,0.0008710801393728223,0.02003484320557491,0.3693379790940767,0.24390243902439024,0.1254355400696864,0.023519163763066203
03520,03,520,5,1316,0,606,6,22,584,419,165,34,263.2,0.0,0.46048632218844987,0.004559270516717325,0.016717325227963525,0.44376899696048633,0.3183890577507599,0.12537993920972645,0.025835866261398176
035A,03,5A,5,0,0,786,786,60,726,467,259,68,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
035B,03,5B,5,0,0,689,689,29,660,430,230,38,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
035C,03,5C,5,0,0,798,798,52,746,498,248,61,0.0,0.0,inf,inf,inf,inf,inf,inf,inf
