address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
03W109,03,Pankow,109,W,031F,O,01,75,1471,568,4,564,66,11.702127659574469,36,6.382978723404255,200,35.46099290780142,56,9.929078014184398,153,27.127659574468083,11,1.950354609929078,42,7.446808510638298
03W110,03,Pankow,110,W,031G,O,01,75,1400,492,4,488,71,14.549180327868852,43,8.811475409836065,130,26.639344262295083,44,9.01639344262295,118,24.18032786885246,19,3.8934426229508197,63,12.90983606557377
03W111,03,Pankow,111,W,031G,O,01,75,1360,515,3,512,82,16.015625,37,7.2265625,187,36.5234375,51,9.9609375,94,18.359375,25,4.8828125,36,7.03125
03W112,03,Pankow,112,W,031H,O,01,75,1175,415,4,411,70,17.0316301703163,33,8.02919708029197,143,34.79318734793188,41,9.975669099756692,84,20.437956204379564,13,3.1630170316301705,27,6.569343065693431
03W113,03,Pankow,113,W,031I,O,01,75,1488,541,6,535,73,13.644859813084112,42,7.850467289719626,216,40.373831775700936,52,9.719626168224298,89,16.635514018691588,14,2.6168224299065423,49,9.158878504672897
03W114,03,Pankow,114,W,031H,O,01,75,999,411,5,406,57,14.039408866995073,38,9.35960591133005,157,38.669950738916256,41,10.098522167487685,80,19.704433497536947,15,3.6945812807881775,18,4.433497536945813
03W115,03,Pankow,115,W,031K,O,01,75,1135,446,4,442,69,15.610859728506787,55,12.44343891402715,159,35.97285067873303,47,10.633484162895927,67,15.158371040723981,16,3.619909502262444,29,6.561085972850679
03W116,03,Pankow,116,W,031L,O,01,75,1398,454,7,447,66,14.76510067114094,43,9.619686800894854,132,29.53020134228188,32,7.158836689038031,104,23.2662192393736,23,5.1454138702460845,47,10.51454138702461
03W117,03,Pankow,117,W,031L,O,01,75,1383,445,10,435,69,15.862068965517242,37,8.505747126436782,116,26.666666666666668,38,8.735632183908045,110,25.287356321839084,8,1.839080459770115,57,13.10344827586207
03W118,03,Pankow,118,W,031M,O,01,75,1369,441,2,439,61,13.895216400911162,49,11.161731207289293,157,35.7630979498861,41,9.339407744874716,81,18.45102505694761,19,4.328018223234624,31,7.061503416856492
03W119,03,Pankow,119,W,031N,O,01,75,1404,518,4,514,65,12.645914396887159,39,7.587548638132295,171,33.26848249027237,47,9.14396887159533,117,22.762645914396888,21,4.085603112840467,54,10.505836575875486
03W120,03,Pankow,120,W,031R,O,01,75,1159,515,4,511,70,13.698630136986301,58,11.350293542074363,184,36.007827788649706,44,8.610567514677104,90,17.61252446183953,18,3.522504892367906,47,9.197651663405088
03W121,03,Pankow,121,W,031R,O,01,75,1254,508,6,502,87,17.330677290836654,65,12.94820717131474,155,30.87649402390438,43,8.565737051792828,85,16.93227091633466,23,4.581673306772909,44,8.764940239043826
03W122,03,Pankow,122,W,031P,O,01,75,1261,494,2,492,63,12.804878048780488,53,10.772357723577237,189,38.41463414634146,58,11.788617886178862,73,14.83739837398374,21,4.2682926829268295,35,7.113821138211382
03W123,03,Pankow,123,W,031N,O,01,75,1285,559,0,559,93,16.636851520572453,52,9.30232558139535,200,35.77817531305904,47,8.407871198568873,100,17.88908765652952,23,4.114490161001789,44,7.8711985688729875
03W124,03,Pankow,124,W,031K,O,01,75,1109,495,4,491,78,15.885947046843176,48,9.775967413441954,183,37.270875763747455,54,10.9979633401222,75,15.274949083503056,18,3.6659877800407332,35,7.128309572301425
03W125,03,Pankow,125,W,031Q,O,01,75,1277,545,4,541,82,15.157116451016636,36,6.654343807763401,193,35.67467652495379,50,9.242144177449168,126,23.290203327171906,10,1.8484288354898337,44,8.133086876155268
03W126,03,Pankow,126,W,031Q,O,01,75,1096,433,5,428,53,12.383177570093459,36,8.411214953271028,164,38.31775700934579,42,9.813084112149532,81,18.925233644859812,21,4.906542056074766,31,7.242990654205607
03W127,03,Pankow,127,W,031D,O,01,75,747,181,1,180,28,15.555555555555555,12,6.666666666666667,53,29.444444444444446,23,12.777777777777777,47,26.111111111111114,6,3.3333333333333335,11,6.111111111111111
03W200,03,Pankow,200,W,032A,O,02,75,1400,530,3,526,79,15.019011406844108,76,14.44866920152091,196,37.26235741444867,37,7.0342205323193925,73,13.878326996197718,31,5.893536121673003,34,6.4638783269961975
03W201,03,Pankow,201,W,032C,O,02,75,633,380,6,373,44,11.796246648793565,6,1.6085790884718498,129,34.584450402144775,28,7.506702412868632,115,30.831099195710454,19,5.093833780160858,32,8.579088471849866
